;_index;_type;_id;_score;_source.date;_source.country;_source.orientation;_source.metadata;_source.keywords;_source.city;_source.rating;_source.county;_source.media;_source.lens;_source.dirname;_source.filename;_source.museum;_source.imported;_source.width;_source.placeInterpolated;_source.location;_source.state;_source.place;_source.height;_source.md5;_source.modified;long;lat
10;images2;test;8SqKtGwB1ENIxZisV_ya;4.0301113;2018-06-17T18:35:53;Portugal;Rotated 180;True;[];Serra de Água ;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3198.JPG;prev_museum;2019-08-21;4032;True;[-16.990144444444446, 32.72245277777778];Madeira ;True;3024;aa1cdc558cf7b1ded2fea7a219d734cf;;32.72;-16.99
11;images2;test;8iqKtGwB1ENIxZisV_za;4.0301113;2018-06-17T15:53:06;Portugal;Rotated 180;True;['Nice'];Serra de Água ;3;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3173.JPG;prev_museum;2019-08-21;4032;True;[-16.985511111111112, 32.73525277777778];Madeira ;True;3024;0e4231ee0e9343d03b3870ead80e0da2;;32.74;-16.99
12;images2;test;8yqKtGwB1ENIxZisWPwA;4.0301113;2018-06-17T18:44:05;Portugal;Rotated 180;True;[];Serra de Água ;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3199.JPG;prev_museum;2019-08-21;4032;True;[-16.990283333333334, 32.71939166666667];Madeira ;True;3024;36210f8b0cc8bf171110a7b47e04d0e9;;32.72;-16.99
13;images2;test;9CqKtGwB1ENIxZisWPwk;4.0301113;2018-06-19T09:20:53;Portugal;Rotated 90 CW;True;[];Câmara de Lobos ;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3238.JPG;prev_museum;2019-08-21;4032;True;[-17.00422222222222, 32.65739444444444];Madeira ;True;3024;e3d85bc91a687cb2061a8830a3ab59a3;;32.66;-17.0
14;images2;test;9yqKtGwB1ENIxZisWfwh;4.0301113;2018-06-17T14:58:40;Portugal;Rotated 180;True;[];Serra de Água ;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3159.JPG;prev_museum;2019-08-21;4032;True;[-16.985747222222223, 32.73086111111111];Madeira ;True;3024;1384afb340afec1596823c1ea443609f;;32.73;-16.99
15;images2;test;-CqKtGwB1ENIxZisWfxq;4.0301113;2018-06-18T16:37:27;Portugal;Rotated 90 CW;True;[];Ilha ;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3217.JPG;prev_museum;2019-08-21;4032;True;[-16.92031111111111, 32.78103611111111];Madeira ;True;3024;2fdfabcdb32b32e316f9fba63bf74807;;32.78;-16.92
16;images2;test;tiqKtGwB1ENIxZisSPzu;4.0301113;2018-06-19T13:58:42;Portugal;Rotated 180;True;[];Porto da Cruz ;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3246.JPG;prev_museum;2019-08-21;4032;True;[-16.827102777777778, 32.77211111111111];Madeira ;True;3024;09d8b64eacb1275e960d883c20145c0f;;32.77;-16.83
17;images2;test;tyqKtGwB1ENIxZisSfwY;4.0301113;2018-06-19T13:40:56;Portugal;Horizontal (normal);True;[];Porto da Cruz ;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3244.JPG;prev_museum;2019-08-21;4032;True;[-16.826605555555556, 32.77475833333333];Madeira ;True;3024;d34b4b1b349f7dbf6cccd947f7289bd3;;32.77;-16.83
18;images2;test;uCqKtGwB1ENIxZisSfxD;4.0301113;2018-06-15T19:47:45;Portugal;Rotated 180;True;[];Ponta do Pargo ;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3091.JPG;prev_museum;2019-08-21;4032;True;[-17.240325000000002, 32.82271111111111];Madeira ;True;3024;571638569759ef28f8fb088d11b7b945;;32.82;-17.24
19;images2;test;uiqKtGwB1ENIxZisSfyV;4.0301113;2018-06-16T15:38:21;Portugal;Horizontal (normal);True;[];Rabaçal Calheta ;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 front camera 2.87mm f/2.2;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3133.JPG;prev_museum;2019-08-21;3088;True;[-17.125583333333335, 32.76551388888889];Madeira ;True;2320;6bd8f650e6aa38eee2feea7e7be1d3cb;;32.77;-17.13
20;images2;test;uyqKtGwB1ENIxZisSfy_;4.0301113;2018-06-14T20:03:06;Portugal;Rotated 180;True;[];;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3047.JPG;prev_museum;2019-08-21;4032;True;[-16.691694444444444, 32.74825];;True;3024;cedb82bc96b6e6578dcc386ba76ec814;;32.75;-16.69
21;images2;test;vCqKtGwB1ENIxZisSfzz;4.0301113;2018-06-14T20:46:24;Portugal;Rotated 180;True;['Nice'];Caniçal ;3;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3053.JPG;prev_museum;2019-08-21;4032;True;[-16.696177777777777, 32.748805555555556];Madeira ;True;3024;593408fe33f942d778f803e528388616;;32.75;-16.7
22;images2;test;vSqKtGwB1ENIxZisSvwb;4.0301113;2018-06-15T19:41:42;Portugal;Rotated 90 CW;True;[];Ponta do Pargo ;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3090.JPG;prev_museum;2019-08-21;4032;True;[-17.239686111111112, 32.82564444444445];Madeira ;True;3024;7171c4ab06348bf740cf774cf15f38fd;;32.83;-17.24
23;images2;test;viqKtGwB1ENIxZisSvxC;4.0301113;2018-06-19T13:58:38;Portugal;Rotated 180;True;[];Porto da Cruz ;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3245.JPG;prev_museum;2019-08-21;4032;True;[-16.82708611111111, 32.772124999999996];Madeira ;True;3024;3db8d405f3bf25bcff60347965b220b7;;32.77;-16.83
24;images2;test;vyqKtGwB1ENIxZisSvxq;4.0301113;2018-06-15T19:50:10;Portugal;Rotated 180;True;[];Ponta do Pargo ;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3094.JPG;prev_museum;2019-08-21;4032;True;[-17.240727777777778, 32.82195277777778];Madeira ;True;3024;366f4dd98205a457f0b8260dcce7c36c;;32.82;-17.24
25;images2;test;wCqKtGwB1ENIxZisSvyU;4.0301113;2018-06-15T12:57:55;Portugal;Rotated 180;True;[];Arco da Calheta ;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3057.JPG;prev_museum;2019-08-21;4032;True;[-17.156513888888888, 32.71888333333334];Madeira ;True;3024;4fe7307067846f4c6aba4e5fd670340d;;32.72;-17.16
26;images2;test;wSqKtGwB1ENIxZisSvy_;4.0301113;2018-06-14T19:15:06;Portugal;Rotated 180;True;[];Caniçal ;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3043.JPG;prev_museum;2019-08-21;4032;True;[-16.698655555555554, 32.74637222222222];Madeira ;True;3024;37b1cda6b2a05e24407a9fd27e2d848f;;32.75;-16.7
27;images2;test;wiqKtGwB1ENIxZisSvze;4.0301113;2018-06-16T15:39:02;Portugal;Rotated 180;True;[];Rabaçal Calheta ;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3137.JPG;prev_museum;2019-08-21;4032;True;[-17.12569722222222, 32.765];Madeira ;True;3024;a33cf307d9d9f61af85bad92332d024f;;32.77;-17.13
28;images2;test;wyqKtGwB1ENIxZisS_wQ;4.0301113;2018-06-16T15:38:52;Portugal;Horizontal (normal);True;[];Rabaçal Calheta ;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 front camera 2.87mm f/2.2;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3136.JPG;prev_museum;2019-08-21;3088;True;[-17.12578611111111, 32.765188888888886];Madeira ;True;2320;f2cec8ba367c7b20885edf567371ac5d;;32.77;-17.13
29;images2;test;xCqKtGwB1ENIxZisS_xB;4.0301113;2018-06-14T19:11:57;Portugal;Rotated 180;True;[];Caniçal ;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3042.JPG;prev_museum;2019-08-21;4032;True;[-16.70038333333333, 32.74529166666667];Madeira ;True;3024;210ad80044d5c6f22ad0f7bb8a566011;;32.75;-16.7
30;images2;test;xSqKtGwB1ENIxZisS_xw;4.0301113;2018-06-15T20:05:43;Portugal;Rotated 180;True;[];Ponta do Pargo ;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3095.JPG;prev_museum;2019-08-21;4032;True;[-17.243516666666668, 32.81810277777778];Madeira ;True;3024;a76d0ed01fbb8aff8e38799485bb5801;;32.82;-17.24
31;images2;test;xiqKtGwB1ENIxZisS_y1;4.0301113;2018-06-19T13:40:48;Portugal;Horizontal (normal);True;[];Porto da Cruz ;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3242.JPG;prev_museum;2019-08-21;4032;True;[-16.826625, 32.774747222222224];Madeira ;True;3024;7bf99e9657fdc3cf14246f8206b1ad15;;32.77;-16.83
32;images2;test;-iqKtGwB1ENIxZisWfzP;4.0301113;2018-06-17T14:58:44;Portugal;Rotated 180;True;[];Serra de Água ;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3160.JPG;prev_museum;2019-08-21;4032;True;[-16.985736111111112, 32.730872222222224];Madeira ;True;3024;084537b6a9375c2f75572668f67d7fa2;;32.73;-16.99
33;images2;test;-yqKtGwB1ENIxZisWfz6;4.0301113;2018-06-17T18:59:18;Portugal;Rotated 180;True;[];Serra de Água ;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3202.JPG;prev_museum;2019-08-21;4032;True;[-16.989644444444444, 32.716213888888895];Madeira ;True;3024;173719c211af8db73ee218bda1f1ba8f;;32.72;-16.99
34;images2;test;_iqKtGwB1ENIxZisWvxh;4.0301113;2018-06-18T15:58:19;Portugal;Rotated 90 CW;True;[];Casa das Queimadas Santana ;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3214.JPG;prev_museum;2019-08-21;4032;True;[-16.91390833333333, 32.782944444444446];Madeira ;True;3024;ae463fa44b3ad2c4826e129ac4238682;;32.78;-16.91
35;images2;test;_yqKtGwB1ENIxZisWvyB;4.0301113;2018-06-18T18:19:44;Portugal;Rotated 90 CW;True;[];Boa Ventura ;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3228.JPG;prev_museum;2019-08-21;4032;True;[-16.935077777777778, 32.77545277777778];Madeira ;True;3024;58a59bb1df31bbd4b9ae258e5d95bbca;;32.78;-16.94
36;images2;test;ASqKtGwB1ENIxZisWv3A;4.0301113;2018-06-17T15:39:56;Portugal;Rotated 90 CW;True;[];Serra de Água ;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3162.JPG;prev_museum;2019-08-21;4032;True;[-16.984847222222225, 32.73501944444445];Madeira ;True;3024;bbaa1e98593203f7e46596ede221cbe6;;32.74;-16.98
37;images2;test;AiqKtGwB1ENIxZisWv3q;4.0301113;2018-06-17T16:27:20;Portugal;Rotated 180;True;[];Serra de Água ;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 front camera 2.87mm f/2.2;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3188.JPG;prev_museum;2019-08-21;3088;True;[-16.987625, 32.73688888888889];Madeira ;True;2320;a1fcb3bf176ff0b90711fb22068ac2e6;;32.74;-16.99
38;images2;test;AyqKtGwB1ENIxZisW_0L;4.0301113;2018-06-18T18:20:20;Portugal;Rotated 180;True;[];Boa Ventura ;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3229.JPG;prev_museum;2019-08-21;4032;True;[-16.935169444444444, 32.77560833333333];Madeira ;True;3024;62babda4ab9b6616d7ee807e2f684224;;32.78;-16.94
39;images2;test;BSqKtGwB1ENIxZisW_1k;4.0301113;2018-06-17T18:44:51;Portugal;Horizontal (normal);True;[];Serra de Água ;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 front camera 2.87mm f/2.2;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3201.JPG;prev_museum;2019-08-21;3088;True;[-16.990269444444447, 32.719436111111115];Madeira ;True;2320;055c4a31d2e1ba3bcb5726c04e6d9275;;32.72;-16.99
40;images2;test;BiqKtGwB1ENIxZisW_2S;4.0301113;2018-06-15T16:17:30;Portugal;Rotated 180;True;[];Ponta do Pargo ;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3064.JPG;prev_museum;2019-08-21;4032;True;[-17.231505555555554, 32.81330555555555];Madeira ;True;3024;cdb8ce62eb6a47683b9d7a9256c71325;;32.81;-17.23
41;images2;test;ByqKtGwB1ENIxZisW_3o;4.0301113;2018-06-16T15:40:32;Portugal;Rotated 90 CW;True;[];Rabaçal Calheta ;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3138.JPG;prev_museum;2019-08-21;4032;True;[-17.125227777777777, 32.765877777777774];Madeira ;True;3024;84e7fdc7de1e83b7ec7d07dd1cac430b;;32.77;-17.13
42;images2;test;CCqKtGwB1ENIxZisXP0U;4.0301113;2018-06-16T12:45:45;Portugal;Rotated 180;True;[];Rabaçal Calheta ;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3110.JPG;prev_museum;2019-08-21;4032;True;[-17.13072222222222, 32.75404722222222];Madeira ;True;3024;e3a99eb3f42bfa94d328cd0304a414f7;;32.75;-17.13
43;images2;test;CiqKtGwB1ENIxZisXP2F;4.0301113;2018-06-16T15:41:45;Portugal;Rotated 180;True;[];Rabaçal Calheta ;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3139.JPG;prev_museum;2019-08-21;4032;True;[-17.125766666666667, 32.765502777777776];Madeira ;True;3024;04f6038208eef09e99d05c21647b7047;;32.77;-17.13
44;images2;test;CyqKtGwB1ENIxZisXf0A;4.0301113;2018-06-15T18:44:19;Portugal;Rotated 180;True;[];Ponta do Pargo ;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3071.JPG;prev_museum;2019-08-21;4032;True;[-17.234644444444445, 32.831383333333335];Madeira ;True;3024;6fed04307bcd8ff27b4766b3aa73fe39;;32.83;-17.23
45;images2;test;FyqKtGwB1ENIxZisaP1s;4.0301113;2018-06-15T18:51:37;Portugal;Rotated 180;True;[];Ponta do Pargo ;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3076.JPG;prev_museum;2019-08-21;4032;True;[-17.236641666666667, 32.83120277777778];Madeira ;True;3024;568c64f1acfcadb740dcfe652c8922c6;;32.83;-17.24
46;images2;test;GCqKtGwB1ENIxZisaP2h;4.0301113;2018-06-15T14:39:01;Portugal;Rotated 180;True;[];Ponta do Pargo ;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3062.JPG;prev_museum;2019-08-21;4032;True;[-17.241622222222222, 32.80708333333333];Madeira ;True;3024;abfd9614e166b3085e5ec3f69aa5862c;;32.81;-17.24
47;images2;test;GSqKtGwB1ENIxZisaP3M;4.0301113;2018-06-15T21:20:38;Portugal;Rotated 180;True;[];Fajã da Ovelha ;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3102.JPG;prev_museum;2019-08-21;4032;True;[-17.232644444444443, 32.78353611111111];Madeira ;True;3024;697a2611f8f4b22a853cbddb0e582f57;;32.78;-17.23
48;images2;test;GiqKtGwB1ENIxZisaP32;4.0301113;2018-06-16T13:50:36;Portugal;Rotated 180;True;[];Rabaçal Calheta ;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3116.JPG;prev_museum;2019-08-21;4032;True;[-17.125775, 32.760891666666666];Madeira ;True;3024;b57e38ae864c8626057dade40c32751a;;32.76;-17.13
49;images2;test;GyqKtGwB1ENIxZisaf01;4.0301113;2018-06-16T13:54:24;Portugal;Rotated 90 CW;True;[];Rabaçal Calheta ;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3117.JPG;prev_museum;2019-08-21;4032;True;[-17.124022222222223, 32.76133611111111];Madeira ;True;3024;6984e0ceee3cbfaaa80e605999f7fb4b;;32.76;-17.12
50;images2;test;HCqKtGwB1ENIxZisaf27;4.0301113;2018-06-15T23:48:43;Portugal;Rotated 90 CW;True;[];Funchal (São Pedro) ;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3103.JPG;prev_museum;2019-08-21;4032;True;[-16.90875833333333, 32.64821111111111];Madeira ;True;3024;6ba3bfed7d4514e200cc15128f48040c;;32.65;-16.91
