;_index;_type;_id;_score;_source.date;_source.country;_source.orientation;_source.metadata;_source.keywords;_source.city;_source.rating;_source.county;_source.media;_source.lens;_source.dirname;_source.filename;_source.museum;_source.imported;_source.width;_source.location;_source.state;_source.place;_source.height;_source.md5;_source.placeInterpolated;_source.modified;_source.deleted;_source.found_file_on_disk;long;lat
10;images2;test;AwPEqWwBP8SISckhQLw7;2.6241126;2019-07-25T11:26:23;Deutschland;Rotated 180;True;[];Weeze ;2;Kreis Kleve ;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_9476.JPG;;2019-08-19;4032;[6.149225, 51.599975];Nordrhein-Westfalen ;True;3024;e86e46df64f92eb72efabdf2dd781ebb;;;;;51.6;6.15
11;images2;test;9gPEqWwBP8SISckhc7zW;2.6241126;2019-07-26T12:06:08;Hrvatska;Horizontal (normal);True;[];Unknown;2;-;image;Canon EOS 450D -;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_4446.JPG;;2019-08-19;4272;[];Unknown;True;2848;fb1949975f0c9c197e9b6e2de340bd99;True;;;;0.0;0.0
12;images2;test;-QPEqWwBP8SISckhdLxX;2.6241126;2019-07-26T12:07:49;Hrvatska;Horizontal (normal);True;[];Unknown;2;-;image;Canon EOS 450D -;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_4452.JPG;;2019-08-19;4272;[];Unknown;True;2848;c571de936d8f616460cea038e9dc08b6;True;;;;0.0;0.0
13;images2;test;-gPEqWwBP8SISckhdLyH;2.6241126;2019-07-28T20:08:47;Hrvatska;Horizontal (normal);True;[];Unknown;2;-;image;Canon EOS 450D -;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_4485.JPG;;2019-08-19;4272;[];Unknown;True;2848;9af85b3fd3cda5413f3c8486d111a14c;True;;;;0.0;0.0
14;images2;test;_APEqWwBP8SISckhdbwE;2.6241126;2019-07-29T19:48:16;Hrvatska;Horizontal (normal);True;[];Unknown;2;-;image;Canon EOS 450D -;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_4491.JPG;;2019-08-19;4272;[];Unknown;True;2848;76c295a4659d02775a665ee718be62b1;True;;;;0.0;0.0
15;images2;test;AgPEqWwBP8SISckhd70w;2.6241126;2019-07-25T20:21:03;Hrvatska;Horizontal (normal);True;[];Unknown;2;-;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_9566.JPG;;2019-08-19;3724;[];Unknown;True;2096;56014b1994d22f605a62a3f226e258e3;True;;;;0.0;0.0
16;images2;test;BAPEqWwBP8SISckhd72S;2.6241126;2019-07-30T17:15:17;Hrvatska;Horizontal (normal);True;['Nice'];Unknown;3;-;image;Canon EOS 450D -;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_4532.JPG;;2019-08-19;4272;[];Unknown;True;2848;b73919b5cd6a0310a2c6c41119a0ade5;True;;;;0.0;0.0
17;images2;test;BQPEqWwBP8SISckhd72u;2.6241126;2019-07-30T17:12:44;Hrvatska;Horizontal (normal);True;[];Unknown;2;-;image;Canon EOS 450D -;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_4526.JPG;;2019-08-19;4272;[];Unknown;True;2848;47851cc2795e6f75d5b8558480582b78;True;;;;0.0;0.0
18;images2;test;EAPEqWwBP8SISckher0R;2.6241126;2019-07-30T16:57:33;Hrvatska;Horizontal (normal);True;[];Unknown;2;-;image;Canon EOS 450D -;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_4518.JPG;;2019-08-19;4272;[];Unknown;True;2848;0157c6ce80446d951190947d237b45b5;True;;;;0.0;0.0
19;images2;test;EQPEqWwBP8SISckher02;2.6241126;2019-07-30T17:13:44;Hrvatska;Horizontal (normal);True;[];Unknown;2;-;image;Canon EOS 450D -;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_4530.JPG;;2019-08-19;4272;[];Unknown;True;2848;9c1599a4f069d6ce2247f82616fa06d7;True;;;;0.0;0.0
20;images2;test;EgPEqWwBP8SISckher1S;2.6241126;2019-07-30T17:00:13;Hrvatska;Horizontal (normal);True;[];Unknown;2;-;image;Canon EOS 450D -;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_4524.JPG;;2019-08-19;4272;[];Unknown;True;2848;e4dc3c9adf27dc35038a5a68cfd37dd5;True;;;;0.0;0.0
21;images2;test;FwPEqWwBP8SISckhe717;2.6241126;2019-07-29T19:48:24;Hrvatska;Horizontal (normal);True;[];Unknown;2;-;image;Canon EOS 450D -;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_4493.JPG;;2019-08-19;4272;[];Unknown;True;2848;8dc8c3520769b5bb1a2e777b3c7d8d1c;True;;;;0.0;0.0
22;images2;test;GQPEqWwBP8SISckhfL13;2.6241126;2019-07-28T20:04:08;Hrvatska;Horizontal (normal);True;[];Unknown;2;-;image;Canon EOS 450D -;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_4478.JPG;;2019-08-19;4272;[];Unknown;True;2848;f533c306a2e11f2b30371f848b255108;True;;;;0.0;0.0
23;images2;test;GwPEqWwBP8SISckhfL3m;2.6241126;2019-07-26T12:05:32;Hrvatska;Horizontal (normal);True;[];Unknown;2;-;image;Canon EOS 450D -;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_4444.JPG;;2019-08-19;4272;[];Unknown;True;2848;15aff5a8c9bbf059f658bd1ddd494a5f;True;;;;0.0;0.0
24;images2;test;HAPEqWwBP8SISckhfb0G;2.6241126;2019-07-26T12:07:22;Hrvatska;Horizontal (normal);True;[];Unknown;2;-;image;Canon EOS 450D -;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_4450.JPG;;2019-08-19;4272;[];Unknown;True;2848;f5f7d09467d9a4a6868b499f7f908bd8;True;;;;0.0;0.0
25;images2;test;HwPEqWwBP8SISckhfb13;2.6241126;2019-07-26T12:07:38;Hrvatska;Horizontal (normal);True;[];Unknown;2;-;image;Canon EOS 450D -;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_4451.JPG;;2019-08-19;4272;[];Unknown;True;2848;ec2f5849fecc1e3dc7888ab40a7b7c9d;True;;;;0.0;0.0
26;images2;test;IAPEqWwBP8SISckhfb23;2.6241126;2019-07-26T12:05:36;Hrvatska;Horizontal (normal);True;[];Unknown;2;-;image;Canon EOS 450D -;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_4445.JPG;;2019-08-19;4272;[];Unknown;True;2848;787b44a6a576949b6a382022fb15dfeb;True;;;;0.0;0.0
27;images2;test;IQPEqWwBP8SISckhfb30;2.6241126;2019-07-28T20:04:19;Hrvatska;Horizontal (normal);True;[];Unknown;2;-;image;Canon EOS 450D -;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_4479.JPG;;2019-08-19;4272;[];Unknown;True;2848;d23991bded5a73448c4734d8d72f6a34;True;;;;0.0;0.0
28;images2;test;IwPEqWwBP8SISckhfr0v;2.6241126;2019-07-29T19:48:19;Hrvatska;Horizontal (normal);True;['Nice'];Unknown;3;-;image;Canon EOS 450D -;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_4492.JPG;;2019-08-19;4272;[];Unknown;True;2848;e2110bd21ef6908079b10f12d68eba05;True;;;;0.0;0.0
29;images2;test;JQPEqWwBP8SISckhf70-;2.6241126;2019-07-28T20:08:52;Hrvatska;Horizontal (normal);True;['Nice'];Unknown;3;-;image;Canon EOS 450D -;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_4486.JPG;;2019-08-19;4272;[];Unknown;True;2848;97a2090ee48f10830c8b37cd4d803f36;True;;;;0.0;0.0
30;images2;test;LwPEqWwBP8SISckhgb1i;2.6241126;2019-07-30T17:12:06;Hrvatska;Horizontal (normal);True;['Nice'];Unknown;3;-;image;Canon EOS 450D -;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_4525.JPG;;2019-08-19;4272;[];Unknown;True;2848;9bd337438991da76c16494ca2d22a9eb;True;;;;0.0;0.0
31;images2;test;MQPEqWwBP8SISckhgb3B;2.6241126;2019-07-30T17:14:25;Hrvatska;Horizontal (normal);True;[];Unknown;2;-;image;Canon EOS 450D -;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_4531.JPG;;2019-08-19;4272;[];Unknown;True;2848;4a01e04b5dd2c61619a660494f9cc25b;True;;;;0.0;0.0
32;images2;test;MgPEqWwBP8SISckhgb3t;2.6241126;2019-07-30T16:57:42;Hrvatska;Horizontal (normal);True;[];Unknown;2;-;image;Canon EOS 450D -;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_4519.JPG;;2019-08-19;4272;[];Unknown;True;2848;fd9dc6b2dc6a9e28b422ac23e5eca11f;True;;;;0.0;0.0
33;images2;test;iwPEqWwBP8SISckhF7tt;2.6241126;2019-07-26T19:36:35;Hrvatska;Rotated 90 CCW;True;[];Unknown;2;-;image;SM-G960F -;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/20190726_193636.jpg;;2019-08-19;2640;[];Unknown;True;1980;ec5eb7b35725cd9042e0981d690dea8a;True;;;;0.0;0.0
34;images2;test;kAPEqWwBP8SISckhGLv3;2.6241126;2019-08-03T19:29:06;Hrvatska;Horizontal (normal);True;[];Unknown;2;-;image;Canon EOS 450D -;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_4560.JPG;;2019-08-19;4272;[];Unknown;True;2848;00bd60ce0550135036719c677c3d0d5e;True;;;;0.0;0.0
35;images2;test;kgPEqWwBP8SISckhGbu5;2.6241126;2019-07-25T13:09:19;Hrvatska;Rotated 180;True;[];Unknown;2;-;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_9520.JPG;;2019-08-19;4032;[];Unknown;True;3024;500f2e6428128c6d8fabaf52239cd2c1;True;;;;0.0;0.0
36;images2;test;lAPEqWwBP8SISckhG7tL;2.6241126;2019-07-25T13:14:59;Hrvatska;Rotated 180;True;[];Unknown;2;-;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_9534.JPG;;2019-08-19;4032;[];Unknown;True;3024;13123b23ae732e9431d475d0c656a9ad;True;;;;0.0;0.0
37;images2;test;lgPEqWwBP8SISckhHruo;2.6241126;2019-07-25T12:46:53;Hrvatska;Horizontal (normal);True;[];Unknown;2;-;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_9508.JPG;;2019-08-19;4032;[];Unknown;True;3024;8d9e91bb266a7bd0182939e410732dd4;True;;;;0.0;0.0
38;images2;test;lwPEqWwBP8SISckhH7tP;2.6241126;2019-07-25T12:25:55;Hrvatska;Rotated 180;True;[];Unknown;2;-;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_9497.JPG;;2019-08-19;4032;[];Unknown;True;3024;1e14d730f00ff6d1399ce8378d2a9456;True;;;;0.0;0.0
39;images2;test;mAPEqWwBP8SISckhH7v7;2.6241126;2019-07-25T12:02:05;Hrvatska;Rotated 180;True;[];Unknown;2;-;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_9483.JPG;;2019-08-19;4032;[];Unknown;True;3024;e8327419c86dfbe445271d1946962f8c;True;;;;0.0;0.0
40;images2;test;nQPEqWwBP8SISckhILvZ;2.6241126;2019-07-24T17:53:28;Hrvatska;Horizontal (normal);True;[];Unknown;2;-;image;Canon EOS 450D -;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_4414.JPG;;2019-08-19;4272;[];Unknown;True;2848;e1f4406d8969cf7334549b3f509a5588;True;;;;0.0;0.0
41;images2;test;nwPEqWwBP8SISckhIbsa;2.6241126;2019-07-25T20:22:59;Hrvatska;Horizontal (normal);True;[];Unknown;2;-;image;Canon EOS 450D -;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_4429.JPG;;2019-08-19;4272;[];Unknown;True;2848;ba86c8b17e48c190177d7acaa3755ebd;True;;;;0.0;0.0
42;images2;test;pwPEqWwBP8SISckhJrut;2.6241126;2019-07-25T11:34:51;Hrvatska;Rotated 180;True;[];Unknown;2;-;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_9482.JPG;;2019-08-19;4032;[];Unknown;True;3024;ccb3055fac960d22a661b81bb515f964;True;;;;0.0;0.0
43;images2;test;qAPEqWwBP8SISckhJ7s6;2.6241126;2019-07-25T12:25:47;Hrvatska;Horizontal (normal);True;[];Unknown;2;-;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_9496.JPG;;2019-08-19;4032;[];Unknown;True;3024;30f0ce01bc01627c63174edba828b857;True;;;;0.0;0.0
44;images2;test;qQPEqWwBP8SISckhJ7t4;2.6241126;2019-07-25T12:47:01;Hrvatska;Horizontal (normal);True;[];Unknown;2;-;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_9509.JPG;;2019-08-19;4032;[];Unknown;True;3024;2539cfb8d2f1dc427049a86523e187c1;True;;;;0.0;0.0
45;images2;test;qgPEqWwBP8SISckhJ7ug;2.6241126;2019-07-25T13:15:06;Hrvatska;Rotated 180;True;[];Unknown;2;-;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_9535.JPG;;2019-08-19;4032;[];Unknown;True;3024;97e8d7bdc8e3ca024603130fd30474f2;True;;;;0.0;0.0
46;images2;test;qwPEqWwBP8SISckhJ7vP;2.6241126;2019-07-25T13:09:23;Hrvatska;Rotated 180;True;[];Unknown;2;-;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_9521.JPG;;2019-08-19;4032;[];Unknown;True;3024;faed8eac19b5e0a8c2357cc952c24e8e;True;;;;0.0;0.0
47;images2;test;sAPEqWwBP8SISckhKrtH;2.6241126;2019-08-03T19:29:08;Hrvatska;Horizontal (normal);True;[];Unknown;2;-;image;Canon EOS 450D -;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_4561.JPG;;2019-08-19;4272;[];Unknown;True;2848;1dfb1575007b10ddfa2236a26d2680ff;True;;;;0.0;0.0
48;images2;test;twPEqWwBP8SISckhK7uG;2.6241126;2019-08-03T19:28:59;Hrvatska;Horizontal (normal);True;[];Unknown;2;-;image;Canon EOS 450D -;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_4559.JPG;;2019-08-19;4272;[];Unknown;True;2848;2ffd8615f48c920103f84dc1af78132d;True;;;;0.0;0.0
49;images2;test;uAPEqWwBP8SISckhK7u1;2.6241126;2019-08-03T19:30:05;Hrvatska;Horizontal (normal);True;[];Unknown;2;-;image;Canon EOS 450D -;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_4565.JPG;;2019-08-19;4272;[];Unknown;True;2848;693ecef36473c5561f4ebc0fcb0b9d7c;True;;;;0.0;0.0
50;images2;test;uwPEqWwBP8SISckhLLtW;2.6241126;2019-07-25T13:08:14;Hrvatska;Rotated 180;True;[];Unknown;2;-;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_9519.JPG;;2019-08-19;4032;[];Unknown;True;3024;dd9beb9e0542c8bba1115325d0643214;True;;;;0.0;0.0
51;images2;test;vAPEqWwBP8SISckhLLv6;2.6241126;2019-07-25T13:14:18;Hrvatska;Rotated 180;True;[];Unknown;2;-;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_9531.JPG;;2019-08-19;4032;[];Unknown;True;3024;f6fe7443d04ba8af0c0f29cd0d8469f7;True;;;;0.0;0.0
52;images2;test;xgPEqWwBP8SISckhL7vQ;2.6241126;2019-07-26T11:35:07;Hrvatska;Horizontal (normal);True;['Nice'];Unknown;3;-;image;Canon EOS 450D -;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_4439.JPG;;2019-08-19;4272;[];Unknown;True;2848;b722601a6b5ab815f95f695040b6330a;True;;;;0.0;0.0
53;images2;test;xwPEqWwBP8SISckhMLsX;2.6241126;2019-07-20T18:36:51;Hrvatska;Horizontal (normal);True;[];Unknown;2;-;image;Canon EOS 450D -;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_4411.JPG;;2019-08-19;4272;[];Unknown;True;2848;1cc9967bce3d89479ca0a68636bfee43;True;;;;0.0;0.0
54;images2;test;ywPEqWwBP8SISckhMrsS;2.6241126;2019-07-20T18:35:31;Hrvatska;Horizontal (normal);True;[];Unknown;2;-;image;Canon EOS 450D -;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_4410.JPG;;2019-08-19;4272;[];Unknown;True;2848;1bc090c7badaae99e138717d55ad16e3;True;;;;0.0;0.0
55;images2;test;zQPEqWwBP8SISckhMruS;2.6241126;2019-07-26T11:35:06;Hrvatska;Horizontal (normal);True;[];Unknown;2;-;image;Canon EOS 450D -;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_4438.JPG;;2019-08-19;4272;[];Unknown;True;2848;1c0ef9b851c3ddd0d63d03dfd1bd0601;True;;;;0.0;0.0
56;images2;test;0gPEqWwBP8SISckhNLtc;2.6241126;2019-07-25T12:22:59;Hrvatska;Horizontal (normal);True;[];Unknown;2;-;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_9487.JPG;;2019-08-19;4032;[];Unknown;True;3024;fa0e2f9211a9a53cc7899e389d4b4f5c;True;;;;0.0;0.0
57;images2;test;1gPEqWwBP8SISckhNLvi;2.6241126;2019-07-25T13:14:15;Hrvatska;Rotated 180;True;[];Unknown;2;-;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_9530.JPG;;2019-08-19;4032;[];Unknown;True;3024;b5e3fc6cb5a3181c79d77411b6e6291c;True;;;;0.0;0.0
58;images2;test;1wPEqWwBP8SISckhNbs8;2.6241126;2019-07-25T13:07:26;Hrvatska;Rotated 180;True;[];Unknown;2;-;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_9518.JPG;;2019-08-19;4032;[];Unknown;True;3024;6ac74a7d4f13b9a679dd6ccd22b5cbe7;True;;;;0.0;0.0
59;images2;test;2wPEqWwBP8SISckhNrup;2.6241126;2019-08-03T19:29:40;Hrvatska;Horizontal (normal);True;[];Unknown;2;-;image;Canon EOS 450D -;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_4564.JPG;;2019-08-19;4272;[];Unknown;True;2848;13e4e3b947d3c6f9da5e02046dcfed5d;True;;;;0.0;0.0
